Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Produção,Unidade de Medida - Contido,Indicação Contido,Unidade de Medida - Venda,Unidade de Medida - Consumo/Utilização na Usina,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Quantidade Produção,Quantidade Contido,Quantidade Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,AL,Não-Metálicos,Calcário,t,-,,t,t,t,"1006305,29",",000000000000000","161857,52000000002","10316106,109999999",0,0,815338,"6136774,0499999998"
2010.0,AL,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"855122,76000000001",",000000000000000","681758,76000000001","24950312,870000001",53650,877370,119714,0
2010.0,AM,Metálicos,Estanho,kg,kg,Sn,kg,kg,kg,"4284188,5","2784170,000000000000000",0,0,0,0,3178353,"49798593,509999998"
2010.0,AM,Metálicos,Nióbio,t,t,Nb2O5,t,t,t,6319,"1922,302990000000000",0,0,0,0,"6227,5200000000004","33407046,27"
2010.0,AM,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"347611,48999999999",",000000000000000","268349,48999999999","17162304,830000002",5986,433319,7728,139560
2010.0,AP,Metálicos,Cromo,t,t,Cr2O3,t,t,t,91878,"91878,000000000000000","38421,910000000003","9448716,1099999994",0,0,0,0
2010.0,AP,Metálicos,Ferro,t,t,Fe,t,t,t,4243086,"2569507,380000000000000","4193349,8700000001","684932386,32999992",0,0,0,0
2010.0,AP,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"6,7620000000000005","6,762000000000000","6,7620000000000005","421164,60999999999",0,0,0,0
2010.0,AP,Não-Metálicos,Caulim,t,-,,t,t,t,881427,",000000000000000",0,"118024927,04000001",881427,0,0,0
2010.0,AP,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,116559,",000000000000000",113376,"4496287,3399999999",0,0,0,0
2010.0,BA,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"1103,2","1103,200000000000000",0,0,0,0,0,0
2010.0,BA,Metálicos,Cobre,t,t,Cu,t,t,t,"82405,309999999998","27803,340000000000000","86152,650000000009","433394129,88",0,0,0,0
2010.0,BA,Metálicos,Cromo,t,t,Cr2O3,t,t,t,"428250,90000000002","166430,420000000000000","98050,989999999991","56251392,219999999",0,0,"383132,13000000006","86599915,469999999"
2010.0,BA,Metálicos,Manganês,t,t,Mn,t,t,t,"1697,8","764,010000000000000","1697,8","867237,83999999997",0,0,0,0
2010.0,BA,Metálicos,Níquel,t,t,Ni,t,t,t,75978,"10375,000000000000000",73218,"370387333,72000003",0,0,0,0
2010.0,BA,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"5979,4752900000003","5979,474290000000000","6025,4083499999997","419163287,38999999",0,0,0,0
2010.0,BA,Metálicos,Prata,kg,kg,Ag,kg,kg,kg,"75,011499999999998","75,011500000000000","75,011499999999998","110888,57000000001",0,0,0,0
2010.0,BA,Não-Metálicos,Argilas,t,-,,t,t,t,"277214,75",",000000000000000","281515,75","32893347,93",0,0,"8265,3199999999997","1448657,23"
2010.0,BA,Não-Metálicos,Bário,t,t,BaSO4,t,t,t,"17995,349999999999","17445,020000000000000","309,89999999999998","351606,88",0,0,"16972,91","7297130,1500000004"
2010.0,BA,Não-Metálicos,Calcário,t,-,,t,t,t,"1585357,3",",000000000000000",377499,"14393262,57","25480,549999999999","832797,46999999997","1063896,0599999998","15825855,879999999"
2010.0,BA,Não-Metálicos,Caulim,t,-,,t,t,t,9605,",000000000000000",8139,5317802,0,0,0,0
2010.0,BA,Não-Metálicos,Diatomita,t,-,,t,t,t,"4082,1999999999998",",000000000000000","3979,3099999999999","8305401,4500000002",0,0,0,0
2010.0,BA,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,1362417,",000000000000000",169262,"113713177,52000001",182155,"5586193,9299999997",947864,"129777935,34"
2010.0,BA,Não-Metálicos,Fosfato,t,t,P2O5,t,t,t,"287663,03999999998","94516,120000000000000","229478,72","31052424,710000001",0,0,"71878,839999999997",8617600
2010.0,BA,Não-Metálicos,Gipsita,t,-,,t,t,t,0,",000000000000000",0,0,0,0,0,0
2010.0,BA,Não-Metálicos,Grafita,t,t,,t,t,t,"17001,099999999999","15530,410000000000000","17001,099999999999","22859581,260000002",0,0,0,0
2010.0,BA,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"5958212,2599999988",",000000000000000","5529208,7599999979","172736405,28","556599,84000000008","1263146,96",0,0
2010.0,BA,Não-Metálicos,Talco e outras Cargas Minerais,t,-,,t,t,t,"79833,309999999998",",000000000000000","73687,639999999999","74164644,959999993",0,0,"1317,1300000000001","232588,78"
2010.0,BA,Não-Metálicos,Vermiculita e Perlita,t,t,,t,t,t,"859,35000000000002","730,440000000000000","859,35000000000002","51561,199999999997",0,0,0,0
2010.0,CE,Não-Metálicos,Areias Industriais,t,-,,t,t,t,"194258,51999999999",",000000000000000",0,0,0,0,"159225,56","2706918,5600000001"
2010.0,CE,Não-Metálicos,Argilas,t,-,,t,t,t,"19977,889999999999",",000000000000000",0,0,0,0,"19977,889999999999","384991,40000000002"
2010.0,CE,Não-Metálicos,Calcário,t,-,,t,t,t,"2032609,8700000001",",000000000000000","58166,190000000002","4467903,4900000002","11009,4",154000,"1963434,28","20597992,350000001"
2010.0,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"3558542,4999999995",",000000000000000","3252287,4999999995","91004356,820000008",2175,36105,304080,"1390065,3500000001"
2010.0,DF,Não-Metálicos,Areia,t,-,,t,t,t,0,",000000000000000",0,0,0,0,0,0
2010.0,DF,Não-Metálicos,Argilas,t,-,,t,t,t,"33986,93",",000000000000000",0,0,0,0,"33986,93","535663,18000000005"
2010.0,DF,Não-Metálicos,Calcário,t,-,,t,t,t,3880454,",000000000000000",3880454,"25006120,280000001",0,0,0,0
