Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,AC,Não-Metálicos,Areia,-,"155024,500000",",000000000000000",,"127314,03","2400373,5300000003",",000000",",000000",",000000",",000000"
2010.0,AL,Não-Metálicos,Calcário,-,"1006305,330000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,AL,Não-Metálicos,Saibro,-,"10859,120000",",000000000000000",,"10653,120000000001","148295,27000000002",",040000",",040000",",040000",",040000"
2010.0,AL,Não-Metálicos,Areia,-,"108938,810000",",000000000000000",,"87835,170000000013","1258464,0499999998","15569,000000","103555,700000",",000000",",000000"
2010.0,AL,Não-Metálicos,Rochas Ornamentais,-,"78,000000",",000000000000000",,72,2376,",000000",",000000",",000000",",000000"
2010.0,AL,Não-Metálicos,Argilas,-,"273110,200000",",000000000000000",,0,0,"86078,940000","281936,580000","183651,000000","1438553,950000"
2010.0,AL,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"808072,600000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,AL,Não-Metálicos,Sal,-,"748163,990000",",000000000000000",,"2013,76","44811,360000000001",",000000",",000000","746150,230000","3946792,220000"
2010.0,AM,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"358313,500000",",000000000000000",,"10702,01","693544,30999999994",",000000",",000000",",000000",",000000"
2010.0,AM,Não-Metálicos,Calcário,-,"603600,000000",",000000000000000",,0,0,",000000",",000000","603600,000000","2601516,000000"
2010.0,AM,Metálicos,Nióbio,t,"7687486,000000","1922,302990000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,AM,Não-Metálicos,Gipsita,-,"35115,980000",",000000000000000",,0,0,",000000",",000000","35115,980000","157670,750000"
2010.0,AM,Não-Metálicos,Argilas,-,"320738,750000",",000000000000000",,8695,76840,",000000",",000000","312043,750000","1618954,080000"
2010.0,AM,Metálicos,Zircônio,t,",000000",",000000000000000",ZrSiO4,0,0,",000000",",000000",",000000",",000000"
